date;new_cases;new_deaths;new_tests
20/7/2020;218.0;3.0;14121.0
21/7/2020;190.0;13.0;23915.0
22/7/2020;128.0;15.0;29288.0
23/7/2020;280.0;9.0;33018.0
24/7/2020;306.0;10.0;28970.0
25/7/2020;252.0;5.0;28059.0
26/7/2020;274.0;5.0;25177.0
27/7/2020;254.0;5.0;19374.0
28/7/2020;168.0;5.0;25341.0
29/7/2020;202.0;11.0;30875.0
30/7/2020;288.0;6.0;33396.0
31/7/2020;382.0;3.0;29686.0
1/8/2020;379.0;9.0;31905.0
2/8/2020;295.0;5.0;24496.0
3/8/2020;238.0;8.0;13467.0
4/8/2020;159.0;12.0;23491.0
5/8/2020;190.0;5.0;29739.0
6/8/2020;384.0;10.0;32169.0
7/8/2020;401.0;6.0;30392.0
8/8/2020;552.0;3.0;26631.0
9/8/2020;347.0;13.0;22773.0
10/8/2020;463.0;2.0;10904.0
11/8/2020;259.0;4.0;22063.0
12/8/2020;412.0;6.0;27330.0
13/8/2020;476.0;10.0;25629.0
14/8/2020;522.0;6.0;24868.0
15/8/2020;574.0;3.0;25937.0
16/8/2020;629.0;158.0;22470.0
17/8/2020;477.0;4.0;21379.0
18/8/2020;320.0;4.0;32687.0
19/8/2020;401.0;5.0;41290.0
20/8/2020;642.0;7.0;49662.0
21/8/2020;840.0;6.0;44943.0
22/8/2020;947.0;9.0;46613.0
23/8/2020;1071.0;3.0;47463.0
24/8/2020;1209.0;7.0;33358.0
25/8/2020;953.0;4.0;45798.0
26/8/2020;876.0;4.0;58054.0
27/8/2020;1366.0;13.0;57640.0
28/8/2020;1409.0;5.0;65135.0
29/8/2020;1460.0;9.0;64294.0
30/8/2020;1444.0;1.0;53541.0
31/8/2020;1365.0;4.0;42583.0
1/9/2020;996.0;6.0;54395.0
2/9/2020;975.0;8.0;
3/9/2020;1326.0;6.0;
